" ","score","status","future","trend","pressures","resilience"
"Index",59.53,,54.23,,,
"Food Provision",4.18,4,4.36,0,,
". Fisheries",4.18,4,4.36,0,30.17,57.18
". Mariculture",19.86,18.72,21,0.05,30.58,57.41
"Artisanal Fishing Opportunity",44.69,42.78,46.6,0.01,29.92,55.98
"Natural Products",97.76,95.52,100,0.39,26.99,60.8
"Carbon Storage",68.63,98.52,38.74,-1,37.64,56.81
"Coastal Protection",17.77,25.69,9.84,-1,40.74,56.81
"Tourism & Recreation",91.58,100,83.16,-0.34,58.36,75.73
"Coastal Livelihoods & Economies",99.53,99.06,100,0.55,,
". Livelihoods",99.06,98.12,100,0.11,34.31,41.55
". Economies",100,100,100,1,31.82,52.09
"Sense of Place",39.12,39.94,38.31,-0.12,,
". Iconic Species",59.42,62,56.85,-0.25,36.43,62
". Lasting Special Places",18.82,17.88,19.76,0,40.32,72.32
"Clean Waters",53.79,57.33,50.25,-0.19,74.27,75.73
"Biodiversity",78.24,85.47,71.02,-0.37,,
". Habitats",76.42,87.33,65.51,-0.52,31.54,60.59
". Species",80.07,83.61,76.53,-0.23,34.28,56.09
