"rgn_id","year","value"
2,1990,"0.0163428536365667"
4,1990,"0.0163428536365667"
3,1990,"0.0163428536365667"
1,1990,"0.0163428536365667"
2,1991,"0.0175215638107872"
4,1991,"0.0175215638107872"
3,1991,"0.0175215638107872"
1,1991,"0.0175215638107872"
2,1992,"0.0180663831578209"
4,1992,"0.0180663831578209"
3,1992,"0.0180663831578209"
1,1992,"0.0180663831578209"
2,1993,"0.0191721198525912"
4,1993,"0.0191721198525912"
3,1993,"0.0191721198525912"
1,1993,"0.0191721198525912"
2,1994,"0.0189813121671339"
4,1994,"0.0189813121671339"
3,1994,"0.0189813121671339"
1,1994,"0.0189813121671339"
2,1995,"0.0189805087744145"
4,1995,"0.0189805087744145"
3,1995,"0.0189805087744145"
1,1995,"0.0189805087744145"
2,1996,"0.0192918869367464"
4,1996,"0.0192918869367464"
3,1996,"0.0192918869367464"
1,1996,"0.0192918869367464"
2,1997,"0.0191728727743206"
4,1997,"0.0191728727743206"
3,1997,"0.0191728727743206"
1,1997,"0.0191728727743206"
2,1998,"0.0206535635879058"
4,1998,"0.0206535635879058"
3,1998,"0.0206535635879058"
1,1998,"0.0206535635879058"
2,1999,"0.0215230766212008"
4,1999,"0.0215230766212008"
3,1999,"0.0215230766212008"
1,1999,"0.0215230766212008"
2,2000,"0.0200720874925121"
4,2000,"0.0200720874925121"
3,2000,"0.0200720874925121"
1,2000,"0.0200720874925121"
2,2001,"0.0203137184242659"
4,2001,"0.0203137184242659"
3,2001,"0.0203137184242659"
1,2001,"0.0203137184242659"
2,2002,"0.0198872170918176"
4,2002,"0.0198872170918176"
3,2002,"0.0198872170918176"
1,2002,"0.0198872170918176"
2,2003,"0.0206566309116033"
4,2003,"0.0206566309116033"
3,2003,"0.0206566309116033"
1,2003,"0.0206566309116033"
2,2004,"0.0194522825601799"
4,2004,"0.0194522825601799"
3,2004,"0.0194522825601799"
1,2004,"0.0194522825601799"
2,2005,"0.0212846172314377"
4,2005,"0.0212846172314377"
3,2005,"0.0212846172314377"
1,2005,"0.0212846172314377"
2,2006,"0.0206071794080294"
4,2006,"0.0206071794080294"
3,2006,"0.0206071794080294"
1,2006,"0.0206071794080294"
2,2007,"0.021578345415424"
4,2007,"0.021578345415424"
3,2007,"0.021578345415424"
1,2007,"0.021578345415424"
2,2008,"0.0228578259995318"
4,2008,"0.0228578259995318"
3,2008,"0.0228578259995318"
1,2008,"0.0228578259995318"
2,2009,"0.0238336952293164"
4,2009,"0.0238336952293164"
3,2009,"0.0238336952293164"
1,2009,"0.0238336952293164"
2,2010,"0.0240892066044381"
4,2010,"0.0240892066044381"
3,2010,"0.0240892066044381"
1,2010,"0.0240892066044381"
2,2011,"0.0257657731027306"
4,2011,"0.0257657731027306"
3,2011,"0.0257657731027306"
1,2011,"0.0257657731027306"
2,2012,"0.0286966978532093"
4,2012,"0.0286966978532093"
3,2012,"0.0286966978532093"
1,2012,"0.0286966978532093"
2,2013,"0.0301652157766534"
4,2013,"0.0301652157766534"
3,2013,"0.0301652157766534"
1,2013,"0.0301652157766534"
