"cntry_key","year","usd"
"GHA",1980,413.6014639
"GHA",1981,485.9573451
"GHA",1982,475.5565111
"GHA",1983,454.9753426
"GHA",1984,493.1583576
"GHA",1985,517.9766701
"GHA",1986,533.1383364
"GHA",1987,561.7141714
"GHA",1988,613.6822052
"GHA",1989,646.4322123
"GHA",1990,669.021798
"GHA",1991,706.2229568
"GHA",1992,725.4809408
"GHA",1993,752.526528
"GHA",1994,772.0647184
"GHA",1995,801.1383717
"GHA",1996,832.5212292
"GHA",1997,864.1036211
"GHA",1998,896.9106055
"GHA",1999,928.8806803
"GHA",2000,961.3861479
"GHA",2001,999.451992
"GHA",2002,1035.432714
"GHA",2003,1084.456318
"GHA",2004,1147.050831
"GHA",2005,1222.463311
"GHA",2006,1308.507483
"GHA",2007,1396.645838
"GHA",2008,1508.731048
"GHA",2009,1543.900303
"GHA",2010,1650.057646
"GHA",2011,1894.566163
"GHA",2012,2047.718551
