"rgn_id","sector","year","value"
1,"cf",1995,260414.602
2,"cf",1995,260414.602
3,"cf",1995,260414.602
4,"cf",1995,260414.602
1,"cf",1996,404770.52
2,"cf",1996,404770.52
3,"cf",1996,404770.52
4,"cf",1996,404770.52
1,"cf",1997,406589.82
2,"cf",1997,406589.82
3,"cf",1997,406589.82
4,"cf",1997,406589.82
1,"cf",1998,405957.02
2,"cf",1998,405957.02
3,"cf",1998,405957.02
4,"cf",1998,405957.02
1,"cf",1999,406036.12
2,"cf",1999,406036.12
3,"cf",1999,406036.12
4,"cf",1999,406036.12
1,"cf",2000,403996.922
2,"cf",2000,403996.922
3,"cf",2000,403996.922
4,"cf",2000,403996.922
1,"mar",1995,0
2,"mar",1995,0
3,"mar",1995,0
4,"mar",1995,0
1,"mar",1996,0
2,"mar",1996,0
3,"mar",1996,0
4,"mar",1996,0
1,"mar",1997,0
2,"mar",1997,0
3,"mar",1997,0
4,"mar",1997,0
1,"mar",1998,0
2,"mar",1998,0
3,"mar",1998,0
4,"mar",1998,0
1,"mar",1999,0
2,"mar",1999,0
3,"mar",1999,0
4,"mar",1999,0
1,"mar",2000,0
2,"mar",2000,0
3,"mar",2000,0
4,"mar",2000,0
1,"tour",2005,26879.0033979
2,"tour",2005,26879.0033979
3,"tour",2005,26879.0033979
4,"tour",2005,26879.0033979
1,"tour",2006,26421.6182011
2,"tour",2006,26421.6182011
3,"tour",2006,26421.6182011
4,"tour",2006,26421.6182011
1,"tour",2007,24492.977288
2,"tour",2007,24492.977288
3,"tour",2007,24492.977288
4,"tour",2007,24492.977288
1,"tour",2008,23326.6450362
2,"tour",2008,23326.6450362
3,"tour",2008,23326.6450362
4,"tour",2008,23326.6450362
1,"tour",2009,24889.3777919
2,"tour",2009,24889.3777919
3,"tour",2009,24889.3777919
4,"tour",2009,24889.3777919
1,"tour",2010,25438.240028
2,"tour",2010,25438.240028
3,"tour",2010,25438.240028
4,"tour",2010,25438.240028
