"rgn_id","product","year","tonnes_rel"
2,"fish_oil",1999,0.00805477245267821
4,"fish_oil",1999,0.00805477245267821
3,"fish_oil",1999,0.00805477245267821
1,"fish_oil",1999,0.00805477245267821
2,"fish_oil",2000,0.00604107933950866
4,"fish_oil",2000,0.00604107933950866
3,"fish_oil",2000,0.00604107933950866
1,"fish_oil",2000,0.00604107933950866
2,"fish_oil",2001,0
4,"fish_oil",2001,0
3,"fish_oil",2001,0
1,"fish_oil",2001,0
2,"fish_oil",2002,0
4,"fish_oil",2002,0
3,"fish_oil",2002,0
1,"fish_oil",2002,0
2,"fish_oil",2003,0
4,"fish_oil",2003,0
3,"fish_oil",2003,0
1,"fish_oil",2003,0
2,"fish_oil",2004,0
4,"fish_oil",2004,0
3,"fish_oil",2004,0
1,"fish_oil",2004,0
2,"fish_oil",2005,0
4,"fish_oil",2005,0
3,"fish_oil",2005,0
1,"fish_oil",2005,0
2,"fish_oil",2006,0.193314538864277
4,"fish_oil",2006,0.193314538864277
3,"fish_oil",2006,0.193314538864277
1,"fish_oil",2006,0.193314538864277
2,"fish_oil",2007,0.598066854611357
4,"fish_oil",2007,0.598066854611357
3,"fish_oil",2007,0.598066854611357
1,"fish_oil",2007,0.598066854611357
2,"fish_oil",2008,1
4,"fish_oil",2008,1
3,"fish_oil",2008,1
1,"fish_oil",2008,1
2,"fish_oil",2009,1
4,"fish_oil",2009,1
3,"fish_oil",2009,1
1,"fish_oil",2009,1
2,"fish_oil",2010,1
4,"fish_oil",2010,1
3,"fish_oil",2010,1
1,"fish_oil",2010,1
2,"fish_oil",2011,1
4,"fish_oil",2011,1
3,"fish_oil",2011,1
1,"fish_oil",2011,1
2,"shells",1996,1
4,"shells",1996,1
3,"shells",1996,1
1,"shells",1996,1
2,"shells",1997,1
4,"shells",1997,1
3,"shells",1997,1
1,"shells",1997,1
2,"shells",1998,0.606508875739645
4,"shells",1998,0.606508875739645
3,"shells",1998,0.606508875739645
1,"shells",1998,0.606508875739645
2,"shells",1999,0.22189349112426
4,"shells",1999,0.22189349112426
3,"shells",1999,0.22189349112426
1,"shells",1999,0.22189349112426
2,"shells",2000,0.22189349112426
4,"shells",2000,0.22189349112426
3,"shells",2000,0.22189349112426
1,"shells",2000,0.22189349112426
2,"shells",2001,0.22189349112426
4,"shells",2001,0.22189349112426
3,"shells",2001,0.22189349112426
1,"shells",2001,0.22189349112426
2,"shells",2002,0
4,"shells",2002,0
3,"shells",2002,0
1,"shells",2002,0
2,"shells",2003,0
4,"shells",2003,0
3,"shells",2003,0
1,"shells",2003,0
2,"shells",2004,0
4,"shells",2004,0
3,"shells",2004,0
1,"shells",2004,0
2,"shells",2005,0
4,"shells",2005,0
3,"shells",2005,0
1,"shells",2005,0
2,"shells",2006,0.014792899408284
4,"shells",2006,0.014792899408284
3,"shells",2006,0.014792899408284
1,"shells",2006,0.014792899408284
2,"shells",2007,0.29585798816568
4,"shells",2007,0.29585798816568
3,"shells",2007,0.29585798816568
1,"shells",2007,0.29585798816568
2,"shells",2008,0.946745562130177
4,"shells",2008,0.946745562130177
3,"shells",2008,0.946745562130177
1,"shells",2008,0.946745562130177
2,"shells",2009,0.946745562130177
4,"shells",2009,0.946745562130177
3,"shells",2009,0.946745562130177
1,"shells",2009,0.946745562130177
2,"shells",2010,1
4,"shells",2010,1
3,"shells",2010,1
1,"shells",2010,1
2,"shells",2011,1
4,"shells",2011,1
3,"shells",2011,1
1,"shells",2011,1
