"rgn_id","year","percent"
2,1980,5.18930581520915
4,1980,5.18930581520915
3,1980,5.18930581520915
1,1980,5.18930581520915
2,1981,5.39743068091563
4,1981,5.39743068091563
3,1981,5.39743068091563
1,1981,5.39743068091563
2,1982,5.68814342449667
4,1982,5.68814342449667
3,1982,5.68814342449667
1,1982,5.68814342449667
2,1983,6.74466557936869
4,1983,6.74466557936869
3,1983,6.74466557936869
1,1983,6.74466557936869
2,1984,5.98674874590542
4,1984,5.98674874590542
3,1984,5.98674874590542
1,1984,5.98674874590542
2,1985,20.6000003814697
4,1985,20.6000003814697
3,1985,20.6000003814697
1,1985,20.6000003814697
2,1986,3.69211398504456
4,1986,3.69211398504456
3,1986,3.69211398504456
1,1986,3.69211398504456
2,1987,14.6999998092651
4,1987,14.6999998092651
3,1987,14.6999998092651
1,1987,14.6999998092651
2,1988,25.7999992370605
4,1988,25.7999992370605
3,1988,25.7999992370605
1,1988,25.7999992370605
2,1989,11.7594336545026
4,1989,11.7594336545026
3,1989,11.7594336545026
1,1989,11.7594336545026
2,1990,23
4,1990,23
3,1990,23
1,1990,23
2,1991,11.7876949093308
4,1991,11.7876949093308
3,1991,11.7876949093308
1,1991,11.7876949093308
2,1992,4.69999980926514
4,1992,4.69999980926514
3,1992,4.69999980926514
1,1992,4.69999980926514
2,1993,15.0264816323316
4,1993,15.0264816323316
3,1993,15.0264816323316
1,1993,15.0264816323316
2,1994,3.09999990463257
4,1994,3.09999990463257
3,1994,3.09999990463257
1,1994,3.09999990463257
2,1995,4.09999990463257
4,1995,4.09999990463257
3,1995,4.09999990463257
1,1995,4.09999990463257
2,1996,13.7302083105012
4,1996,13.7302083105012
3,1996,13.7302083105012
1,1996,13.7302083105012
2,1997,15.0826836820662
4,1997,15.0826836820662
3,1997,15.0826836820662
1,1997,15.0826836820662
2,1998,4.09999990463257
4,1998,4.09999990463257
3,1998,4.09999990463257
1,1998,4.09999990463257
2,1999,10.1000003814697
4,1999,10.1000003814697
3,1999,10.1000003814697
1,1999,10.1000003814697
2,2000,10.3999996185303
4,2000,10.3999996185303
3,2000,10.3999996185303
1,2000,10.3999996185303
2,2001,13.7312059096703
4,2001,13.7312059096703
3,2001,13.7312059096703
1,2001,13.7312059096703
2,2002,0.699999988079071
4,2002,0.699999988079071
3,2002,0.699999988079071
1,2002,0.699999988079071
2,2003,16.0295556282696
4,2003,16.0295556282696
3,2003,16.0295556282696
1,2003,16.0295556282696
2,2004,14.7011964632337
4,2004,14.7011964632337
3,2004,14.7011964632337
1,2004,14.7011964632337
2,2005,13.078825428307
4,2005,13.078825428307
3,2005,13.078825428307
1,2005,13.078825428307
2,2006,3.59999990463257
4,2006,3.59999990463257
3,2006,3.59999990463257
1,2006,3.59999990463257
2,2007,5.59999990463257
4,2007,5.59999990463257
3,2007,5.59999990463257
1,2007,5.59999990463257
2,2008,31.2000007629395
4,2008,31.2000007629395
3,2008,31.2000007629395
1,2008,31.2000007629395
2,2009,11.1607023513485
4,2009,11.1607023513485
3,2009,11.1607023513485
1,2009,11.1607023513485
2,2010,4.19999980926514
4,2010,4.19999980926514
3,2010,4.19999980926514
1,2010,4.19999980926514
2,2011,12.612058666777
4,2011,12.612058666777
3,2011,12.612058666777
1,2011,12.612058666777
2,2012,15.7549010850949
4,2012,15.7549010850949
3,2012,15.7549010850949
1,2012,15.7549010850949
